Date,Close,Volume,MA5,MA20,Daily_Return,Volatility,mean_compound,sentiment_sum,pos_ratio,neg_ratio,doc_count,Target,Return_Magnitude
2026-03-09,259.8800048828125,38218500,260.7799987792969,265.65,0.009399570838394267,0.007857369120249981,0.0,0,0.0,0.0,0,1,0.0036554627966916
2026-03-10,260.8299865722656,30590800,260.19599609375,264.9604995727539,0.0036554627966916,0.008510869096453318,0.0,0,0.0,0.0,0,0,-7.663617950748325e-05
2026-03-11,260.80999755859375,26218900,259.8539978027344,264.3169998168945,-7.663617950748325e-05,0.008425058226936923,0.0,0,0.0,0.0,0,0,-0.019362766377938656
2026-03-12,255.75999450683594,40794000,258.9479949951172,263.32999954223635,-0.019362766377938656,0.011568157622044896,0.0,0,0.0,0.0,0,0,-0.022051921765652405
2026-03-13,250.1199951171875,36930000,257.47999572753906,262.7494987487793,-0.022051921765652405,0.014152735274978224,0.0,0,0.0,0.0,0,1,0.01079486750256109
2026-03-16,252.82000732421875,32074200,256.0679962158203,262.6014991760254,0.01079486750256109,0.014533223571917959,0.0,0,0.0,0.0,0,1,0.005577044389181385
2026-03-17,254.22999572753906,32361600,254.747998046875,262.1189987182617,0.005577044389181385,0.014854674860178956,0.0,0,0.0,0.0,0,0,-0.016874457610149385
2026-03-18,249.94000244140625,35757900,252.5739990234375,261.39849853515625,-0.016874457610149385,0.015347418224169473,0.0,0,0.0,0.0,0,0,-0.0039209238936004365
2026-03-19,248.9600067138672,34864100,251.21400146484376,260.8174995422363,-0.0039209238936004365,0.01408768554599447,0.0,0,0.0,0.0,0,0,-0.003896213024359163
2026-03-20,247.99000549316406,88331100,250.78800354003906,259.9880004882813,-0.003896213024359163,0.010595878968142498,0.0,0,0.0,0.0,0,1,0.01411347200480817
2026-03-23,251.49000549316406,40546100,250.52200317382812,259.2535011291504,0.01411347200480817,0.01162532579539183,0.0,0,0.0,0.0,0,1,0.0005964209042432778
2026-03-24,251.63999938964844,45152300,250.00400390625,258.22850036621094,0.0005964209042432778,0.011123402989086387,0.0,0,0.0,0.0,0,1,0.00389443542328749
2026-03-25,252.6199951171875,28476700,250.54000244140624,257.1479995727539,0.00389443542328749,0.007449729149106346,0.0,0,0.0,0.0,0,1,0.0010688159198788405
2026-03-26,252.88999938964844,41796700,251.3260009765625,256.14499893188474,0.0010688159198788405,0.006731511137919452,0.0,0,0.0,0.0,0,0,-0.016173025219509918
