Date,Close,Volume,MA5,MA20,Daily_Return,Volatility,mean_compound,sentiment_sum,pos_ratio,neg_ratio,doc_count,Target,Return_Magnitude
2026-03-09,398.67999267578125,67018900,399.8659973144531,409.55699920654297,0.004915135319874642,0.024447917282182135,0.2294,1.0,0.5,0.0,2.0,1,0.0014046291985592152
2026-03-10,399.239990234375,59258700,401.2279968261719,408.65299835205076,0.0014046291985592152,0.02012558174229968,0.2294,1.0,0.5,0.0,2.0,1,0.02149087591352461
2026-03-11,407.82000732421875,62559900,401.6039978027344,407.7834991455078,0.02149087591352461,0.015465207290343052,0.2294,1.0,0.5,0.0,2.0,0,-0.03141091003024221
2026-03-12,395.010009765625,60973800,399.4960021972656,406.1205001831055,-0.03141091003024221,0.021325508954238234,0.2294,1.0,0.5,0.0,2.0,0,-0.009645319015724074
2026-03-13,391.20001220703125,58504100,398.39000244140624,404.8270004272461,-0.009645319015724074,0.019574074756073336,0.2294,1.0,0.5,0.0,2.0,1,0.011145156481373375
2026-03-16,395.55999755859375,58068300,397.76600341796876,403.73300018310545,0.011145156481373375,0.020358530486120404,0.2294,1.0,0.5,0.0,2.0,1,0.00937908655570907
2026-03-17,399.2699890136719,46890500,397.7720031738281,403.1649993896484,0.00937908655570907,0.020937604202830307,0.2294,1.0,0.5,0.0,2.0,0,-0.016254640751756533
2026-03-18,392.7799987792969,50853100,394.7640014648438,402.23799896240234,-0.016254640751756533,0.0179263869040876,0.2294,1.0,0.5,0.0,2.0,0,-0.03177353995904619
2026-03-19,380.29998779296875,67078300,391.8219970703125,400.66749877929686,-0.03177353995904619,0.018048349574898776,0.2294,1.0,0.5,0.0,2.0,0,-0.03244805872728129
2026-03-20,367.9599914550781,78628600,387.1739929199219,398.47449798583983,-0.03244805872728129,0.02133061828562118,0.2294,1.0,0.5,0.0,2.0,1,0.035031022251806876
2026-03-23,380.8500061035156,74606000,384.23199462890625,397.52549896240237,0.035031022251806876,0.02907591069752028,0.2294,1.0,0.5,0.0,2.0,1,0.005724019012326664
2026-03-24,383.0299987792969,60004900,380.98399658203124,396.20799865722654,0.005724019012326664,0.028596459131560687,0.2294,1.0,0.5,0.0,2.0,1,0.007623458833617036
2026-03-25,385.95001220703125,55157300,379.6179992675781,394.63549957275393,0.007623458833617036,0.02885432220815734,0.2294,1.0,0.5,0.0,2.0,0,-0.03585963575004292
2026-03-26,372.1099853515625,55522900,377.97999877929686,392.81199951171874,-0.03585963575004292,0.029905724668610714,0.2294,1.0,0.5,0.0,2.0,0,-0.027626237359861583
2026-03-27,361.8299865722656,62065700,376.7539978027344,390.77799835205076,-0.027626237359861583,0.02881635803311817,0.2294,1.0,0.5,0.0,2.0,0,-0.018102390725044493
2026-03-30,355.2799987792969,67954400,371.63999633789064,388.37599792480466,-0.018102390725044493,0.01959808383817939,0.2294,1.0,0.5,0.0,2.0,1,0.04635780589195071
2026-03-31,371.75,75534900,369.3839965820313,387.3419982910156,0.04635780589195071,0.03328495541716221,0.2294,1.0,0.5,0.0,2.0,1,0.025581734406523227
2026-04-01,381.260009765625,58683800,368.44599609375,386.1079986572266,0.025581734406523227,0.03592238419821391,0.2294,1.0,0.5,0.0,2.0,0,-0.05421500524128142
2026-04-02,360.5899963378906,83031200,366.1419982910156,383.85999908447263,-0.05421500524128142,0.040855837376801096,0.2294,1.0,0.5,0.0,2.0,0,-0.021547988276388597
2026-04-06,352.82000732421875,77697600,364.3400024414062,381.6644989013672,-0.021547988276388597,0.04012044964186583,0.2294,1.0,0.5,0.0,2.0,0,-0.017487708462248674
2026-04-07,346.6499938964844,74515400,362.61400146484374,379.06299896240233,-0.017487708462248674,0.04006881804861261,0.2294,1.0,0.5,0.0,2.0,0,-0.009808146419583275
2026-04-08,343.25,78838600,356.91400146484375,376.2634994506836,-0.009808146419583275,0.02854595756070302,0.2294,1.0,0.5,0.0,2.0,1,0.006904574267115882
2026-04-09,345.6199951171875,62164000,349.78599853515624,373.153498840332,0.006904574267115882,0.022383847605723695,0.2294,1.0,0.5,0.0,2.0,1,0.009634908676839249
2026-04-10,348.95001220703125,51336000,347.4580017089844,370.85049896240236,0.009634908676839249,0.014125559771726902,0.2294,1.0,0.5,0.0,2.0,1,0.009944121218842028
2026-04-13,352.4200134277344,53617500,347.3780029296875,368.9114990234375,0.009944121218842028,0.012661732612863947,0.2294,1.0,0.5,0.0,2.0,1,0.03342602102735692
2026-04-14,364.20001220703125,59979600,350.88800659179685,367.3434997558594,0.03342602102735692,0.015417985769433993,0.2294,1.0,0.5,0.0,2.0,1,0.07619439612820611
2026-04-15,391.95001220703125,113810400,360.6280090332031,366.97750091552734,0.07619439612820611,0.02939988995342391,0.2294,1.0,0.5,0.0,2.0,0,-0.007781651270713175
2026-04-16,388.8999938964844,63515100,369.2840087890625,366.7835006713867,-0.007781651270713175,0.032506536900859626,0.2294,1.0,0.5,0.0,2.0,1,0.03013628543234881
2026-04-17,400.6199951171875,90640000,379.6180053710938,367.7995010375977,0.03013628543234881,0.03147344086437967,0.2294,1.0,0.5,0.0,2.0,0,-0.02026857175416885
2026-04-20,392.5,64603900,387.6340026855469,369.02650146484376,-0.02026857175416885,0.03810112257172701,0.2294,1.0,0.5,0.0,2.0,0,-0.015490411649084379
2026-04-21,386.4200134277344,50530600,392.0780029296875,369.3050018310547,-0.015490411649084379,0.04073262099935679,0.2294,1.0,0.5,0.0,2.0,1,0.0028207553957204645
2026-04-22,387.510009765625,62362800,391.19000244140625,369.5290023803711,0.0028207553957204645,0.020031673790739973,0.2294,1.0,0.5,0.0,2.0,0,-0.03558619957523779
2026-04-23,373.7200012207031,93969500,388.15400390625,368.91750183105466,-0.03558619957523779,0.02519210155649446,0.2294,1.0,0.5,0.0,2.0,1,0.0069035282132037246
2026-04-24,376.29998779296875,62893300,383.2900024414063,369.127001953125,0.0069035282132037246,0.01741647043168308,0.2294,1.0,0.5,0.0,2.0,1,0.0062982346841573555
2026-04-27,378.6700134277344,66735800,380.5240051269531,369.96900329589846,0.0062982346841573555,0.01841097288269988,0.2294,1.0,0.5,0.0,2.0,0,-0.006998242057971282
2026-04-28,376.0199890136719,50864400,378.4440002441406,371.00600280761716,-0.006998242057971282,0.01781522495462069,0.2294,1.0,0.5,0.0,2.0,0,-0.008563377785179571
2026-04-29,372.79998779296875,45384800,375.5019958496094,371.0585021972656,-0.008563377785179571,0.01723390736332114,0.2294,1.0,0.5,0.0,2.0,1,0.02368566893502
2026-04-30,381.6300048828125,51076000,377.08399658203126,371.077001953125,0.02368566893502,0.013035395606005409,0.2294,1.0,0.5,0.0,2.0,1,0.024080922159745333
2026-05-01,390.82000732421875,65338300,379.9880004882813,372.58850250244143,0.024080922159745333,0.01586172234206442,0.06936,3.0,0.3333333333333333,0.13333333333333333,15.0,1,0.00432424750456617
2026-05-04,392.510009765625,48765100,382.75599975585936,374.57300262451173,0.00432424750456617,0.015929774855989943,0.0370263157894737,1.0,0.3157894736842105,0.2631578947368421,19.0,0,-0.007999833304410453
2026-05-05,389.3699951171875,47780600,385.4260009765625,376.70900268554686,-0.007999833304410453,0.016159263211388275,0.09649166666666666,4.0,0.4166666666666667,0.08333333333333333,12.0,1,0.024038873016714035
